mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
4.7,Vanuatu,1667519884886,1667521988040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000imc1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000imc1&format=geojson,,,,,reviewed,0,340,us,7000imc1,",us7000imc1,",",us,",",origin,phase-data,",63.0,7.452,0.5,44.0,mb,earthquake,M 4.7 - Vanuatu
0.85,"7km NW of The Geysers, CA",1667519471080,1667520069351,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73802781,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73802781&format=geojson,,,,,automatic,0,11,nc,73802781,",nc73802781,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.002067,0.02,53.0,md,earthquake,"M 0.9 - 7km NW of The Geysers, CA"
2.2,"52 km SSW of Denali National Park, Alaska",1667518699850,1667518830532,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022e43wp9d,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022e43wp9d&format=geojson,,,,,automatic,0,74,ak,022e43wp9d,",ak022e43wp9d,",",ak,",",origin,phase-data,",,,0.69,,ml,earthquake,"M 2.2 - 52 km SSW of Denali National Park, Alaska"
0.84,"7km NW of The Geysers, CA",1667518671120,1667519409291,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73802776,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73802776&format=geojson,,,,,automatic,0,11,nc,73802776,",nc73802776,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.01635,0.01,79.0,md,earthquake,"M 0.8 - 7km NW of The Geysers, CA"
0.53,"2km NW of The Geysers, CA",1667517820690,1667520493397,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73802771,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73802771&format=geojson,,,,,automatic,0,4,nc,73802771,",nc73802771,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01346,0.02,95.0,md,earthquake,"M 0.5 - 2km NW of The Geysers, CA"
0.35,"5km WNW of The Geysers, CA",1667517784460,1667519835334,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73802766,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73802766&format=geojson,,,,,automatic,0,2,nc,73802766,",nc73802766,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.006605,0.02,135.0,md,earthquake,"M 0.4 - 5km WNW of The Geysers, CA"
1.5,"6 km E of Fox, Alaska",1667517220516,1667517369509,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022e43rdpv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022e43rdpv&format=geojson,,,,,automatic,0,35,ak,022e43rdpv,",ak022e43rdpv,",",ak,",",origin,phase-data,",,,0.9,,ml,earthquake,"M 1.5 - 6 km E of Fox, Alaska"
0.9,Nevada,1667517214695,1667529844854,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850583,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850583&format=geojson,,,,,reviewed,0,12,nn,00850583,",nn00850583,",",nn,",",origin,phase-data,",3.0,0.094,0.0576,175.51,ml,earthquake,M 0.9 - Nevada
2.11999989,"12 km SSE of P?hala, Hawaii",1667516830410,1667517026610,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73206567,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73206567&format=geojson,,,,,automatic,0,69,hv,73206567,",hv73206567,",",hv,",",origin,phase-data,",33.0,,0.129999995,239.0,md,earthquake,"M 2.1 - 12 km SSE of P?hala, Hawaii"
4.3,"28 km S of Jurm, Afghanistan",1667516644929,1667517411040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000imbm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000imbm&format=geojson,,,,,reviewed,0,284,us,7000imbm,",us7000imbm,",",us,",",origin,phase-data,",35.0,0.574,0.65,70.0,mb,earthquake,"M 4.3 - 28 km S of Jurm, Afghanistan"
